Prime,Collisions,Time [mc s]
3943,10190,295702
3947,10093,295928
3967,10108,296188
3989,10090,296126
4001,9946,295928
4003,10009,296096
4007,9867,297206
4013,9883,296232
4019,9859,296180
4021,10059,296113
4027,9849,296142
4049,9813,296132
4051,9691,297616
4057,9781,297381
4073,9686,296042
4079,9759,295990
4091,9677,298828
4093,9872,296298
4099,9827,296419
4111,9788,296418
4127,9693,295936
4129,9706,447731
4133,9792,297482
4139,9638,296801
4153,9445,226589
4157,9721,297308
4159,9790,297292
4177,9529,296724
4201,9464,298284
4211,9639,297670
4217,9488,296702
4219,9587,296722
4229,9455,297040
4231,9470,297556
4241,9318,297090
4243,9417,296993
4253,9426,297692
4259,9541,296689
4261,9398,297390
4271,9323,297717
4273,9424,296578
4283,9364,296595
4289,9216,295974
4297,9237,297382
4327,9190,298746
4337,9086,296319
4339,9129,296767
4349,9287,295915
4357,9306,296067
4363,9076,296321
4373,9163,296015
4391,9176,295874
4397,9021,296476
4409,9008,296676
4421,9095,296186
4423,9126,296459
4441,8967,296586
4447,9096,296267
4451,9008,296457
4457,8932,296145
4463,8975,297668
4481,9042,296053
4483,8928,295921
4493,8763,296566
4507,9000,295944
4513,8838,296129
4517,8978,296121
4519,8983,296434
4523,8745,296028
4547,8863,296391
4549,8858,297056
4561,8978,295931
4567,8643,296085
4583,8603,296862
4591,8690,296373
4597,8760,295972
4603,8640,296090
4621,8783,295919
4637,8694,295941
4639,8646,296265
4643,8575,301414
4649,8594,295795
4651,8535,295765
4657,8546,295956
4663,8610,296439
4673,8443,295812
4679,8450,296027
4691,8498,296604
4703,8476,295846
4721,8447,295855
4723,8601,295738
4729,8582,295816
4733,8355,296109
4751,8400,295783
4759,8642,298042
4783,8338,299081
4787,8317,296632
4789,8481,296660
4793,8282,296612
4799,8161,296481
4801,8380,296059
4813,8294,296499
4817,8362,296367
4831,8393,295767
4861,8264,296865
4871,8264,296465
4877,8112,296590
4889,8310,296353
4903,8062,296231
4909,8160,296616
4919,7999,296469
4931,8148,296628
4933,8241,296090
4937,8135,296966
4943,8036,297097
4951,7970,303959
4957,8227,296732
4967,8100,296760
4969,7940,296731
4973,8129,296635
4987,8045,296575
4993,8041,296769
4999,8018,296845
5003,8023,296897
5009,7912,296979
5011,8075,296821
5021,7949,296958
5023,7911,296845
5039,7969,297004
5051,7975,297152
5059,7937,296884
5077,7834,296993
5081,7848,296686
5087,7865,297105
5099,7759,297273
5101,7847,297000
5107,7669,296847
5113,7816,297317
5119,7698,297391
5147,7771,296773
5153,7788,298454
5167,7871,297280
5171,7699,296998
5179,7699,296358
5189,7835,297268
5197,7610,298962
5209,7862,296212
5227,7714,296025
5231,7711,295937
5233,7644,295905
5237,7621,296077
5261,7684,296247
5273,7620,295782
5279,7477,295949
5281,7574,296438
5297,7511,295897
